Nom,Code
 ADAK NAS         ,PADK
 AKHIOK           ,PAKH
 AKUTAN           ,PAUT
 ALASKAN ARTCC    ,PZ74
 ALASKAN ARTCC    ,PZ76
 AMBLER           ,PAFM
 ANAKTUVUK PASS   ,PAKP
 ANCHORAGE/ARTCC  ,PZAN
 ANCHORAGE INTL   ,PANC
 ANCHORAGE/LAKE H ,PALH
 ANCHORAGE/MERRIL ,PAMR
 ANCHORAGE/WFO    ,PAFC
 ANCHORAG/NIKISKI ,PAHG
 ANGOON SEAPLANE  ,PAGN
 ANIAK            ,PANI
 ANNETTE ISLAND   ,PANT
 ANVIK            ,PANV
 ARCTIC VILLAGE   ,PARC
 ATKA             ,PAAK
 ATQASUK BURNELL  ,PATQ
 BARROW ARM-NSA   ,    
 BARTER ISLAND    ,PABA
 BETHEL/88D       ,PABC
 BETHEL           ,PABE
 BETTLES          ,PABT
 BIG RIVER LAKES  ,PALV
 BIRCHWOOD        ,PABV
 BREVIG MISSION   ,PFKT
 BRYANT ARMY AF   ,PAFR
 BUCKLAND         ,PABL
 CANTWELL         ,PATW
 CAPE LISBURNE    ,PALU
 CAPE NEWENHAM    ,PAEH
 CAPE ROMANZOF    ,PACZ
 CENTRAL AK PROF  ,    
 CENTRAL          ,PACE
 CENTRAL          ,PARL
 CHANDALAR LAKE   ,PALR
 CHEVAK           ,PAVA
 CHIGNIK BAY      ,PAJC
 CHULITNA         ,PAEC
 CIRCLE/PAFC RFC  ,PACR
 CLARKS POINT     ,PFCL
 COLD BAY         ,PACD
 CORDOVA          ,PACV
 DEADHORSE        ,PASC
 DEERING          ,PADE
 DELTA JUNCTION   ,PABI
 DILLINGHAM       ,PADL
 DUTCH HARBOR     ,PADU
 EAGLE            ,PAEG
 EARECKSON/SHEMYA ,PASY
 EGEGIK           ,PAII
 EIELSON AFB      ,PAEI
 ELFIN COVE       ,PAEL
 ELIM APRT        ,PFEL
 ELMENDORF AFB    ,PAED
 EMMONAK          ,PAEM
 EUREKA           ,PAZK
 FAIRBANKS        ,PAFA
 FAIRBANKS/WFO    ,PAFG
 FALSE PASS       ,PAKF
 FAREWELL LAKE    ,PAFK
 FORT WAINWRIGHT  ,PAFB
 FORT YUKON       ,PAFY
 FORT YUKON       ,PFYU
 FRBNKS/PEDRO DOM ,PAPD
 FUNTER BAY       ,PAFN
 GALBRAITH LAKE   ,PAGB
 GALENA           ,PAGA
 GAMBELL          ,PAGM
 GLENNALLEN PROF  ,    
 GOLOVIN          ,PAGL
 GULKANA          ,PAGK
 GUSTAVUS         ,PAGS
 HAINES           ,PAHN
 HAYES RIVER      ,PAHZ
 HEALY            ,PAHV
 HOLY CROSS       ,PAHC
 HOMER            ,PAHO
 HOONAH           ,PAOH
 HOOPER BAY       ,PAHP
 HUSLIA           ,PAHL
 HUSLIA           ,PAHS
 HYDABURG         ,PAHY
 IGIUGIG          ,PAIG
 ILIAMNA          ,PAIL
 INDIAN MOUNTAIN  ,PAIM
 JUNEAU           ,PAJN
 JUNEAU/WFO       ,PAJK
 KAKE             ,PAFE
 KALSKAG          ,PALG
 KALTAG           ,PAKV
 KENAI            ,PAEN
 KETCHIKAN        ,PAKT
 KIANA            ,PAIK
 KING COVE        ,PAVC
 KING SALMON/88D  ,PAKC
 KING SALMON      ,PAKN
 KIPNUK           ,PAKI
 KIVALINA         ,PAVL
 KLAWOCK          ,PAKW
 KODIAK           ,PADQ
 KOLIGANEK        ,PAJZ
 KOTZEBUE         ,PAOT
 KOYUK            ,PAKK
 KUPARUK          ,PAKU
 KWETHLUK         ,PFKW
 MANLEY HOT SPRIN ,PAML
 MANOKOTAK        ,PAMB
 MARSHALL         ,PADM
 MCCARTHY         ,PAMX
 MCGRATH          ,PAMC
 MCKINLEY PARK    ,PAIN
